year,assessed_improvement_value,assessed_land_value,total_assessed_value,market_improvement_value,market_land_value,total_market_value,tax_amount
2016,11770,4320,16090,147800.0,54300.0,202100,1312.09
2017,14930,6080,21010,207400.0,84500.0,291900,1620.58
2018,19270,6080,25350,267600.0,84500.0,352100,1961.2
2019,22970,6900,29870,321300.0,96500.0,417800,2154.11
2020,22970,6900,29870,321300.0,96500.0,417800,2216.21
2021,24390,7340,31730,341100.0,102600.0,443700,2367.64
2022,23710,7130,30840,341100.0,102600.0,443700,2367.64
2011,8400,3120,11520,,,144700,821.46
2013,8736,2404,11140,109800.0,30200.0,140000,925.62
2014,8740,2400,11140,109800.0,30200.0,140000,925.22
2015,11770,4320,16090,147800.0,54300.0,202100,1257.07
